A2715        3.313  6.157 0.31     0.17 0.65     0.15 m 1.88  2.025 0.52     0.99 3.21  5.29 3.0 2 112 e
S1101        2.948  4.834 0.05     0.02 0.65     0.05 m 0.11 24.544 0.29     0.06 2.10  0.53 3.0 0  28 s
S1109        2.864  5.245 0.25          0.60          D 1.65  2.247 0.48     0.67 2.92  3.73 3.0 1   0 s
A2580        3.551  6.641 0.25          0.60          D 1.55  2.494 0.53     0.74 3.12  3.99 2.5 1  62 s
A2593        1.037  1.711 0.22     0.07 0.62     0.12 d 1.61  1.759 0.28     0.32 1.98  2.14 2.0 0  42 s
A2597        6.191 12.253 0.25          0.60          D 1.31  3.272 0.69     0.97 3.72  4.75 3.0 0  43 s
A2625        0.466  0.760 0.16          0.60          r 1.45  1.773 0.18     0.13 1.72  1.32 0.0 0  45 s
A2626        1.346  2.202 0.10     0.03 0.60          d 0.51  5.262 0.28     0.11 1.87  0.94 1.5 0  47 s
A2634        0.693  1.164 0.42     0.06 0.60          m 5.05  0.597 0.25     0.84 1.88  4.47 2.0 1  52 p
A2638        0.268  0.432 0.20          0.60          r 2.38  0.947 0.15     0.15 1.43  1.46 2.5 2 123 s
A2657        1.697  2.851 0.14     0.05 0.52     0.05 m 1.00  3.018 0.35     0.20 1.90  1.29 3.0 1  51 p
A2670        2.013  3.482 0.11     0.06 0.57     0.10 m 0.63  5.180 0.35     0.15 2.40  1.31 1.5 3 142 s
ZW 2354.1+47 0.184  0.294 0.25          0.60          D 3.34  0.608 0.13     0.18 1.24  1.58 0.0 0   0 u
A4067        0.851  1.420 0.25          0.60          D 2.34  1.257 0.27     0.37 2.01  2.57 0.0 0   0 c
A4067S       0.259  0.417 0.25          0.60          D 3.14  0.716 0.15     0.21 1.39  1.78 0.0 0   0 c
A4067SS      0.228  0.367 0.25          0.60          D 3.23  0.674 0.14     0.20 1.34  1.71 0.0 0   0 c
